idx,ind
0,Ne30_genotyping_noUDG
1,Ne61_genotyping_noUDG
2,Ne35_genotyping_noUDG
3,I17622
4,I13833
5,I3931
6,I3930
7,I13559
8,I24542_d
9,I19493_in.preparation
11,CAO009013
12,I16326
13,I8122
14,I14200
15,I2446
16,I19043_old
19,I13433
20,I13531
21,I13580
22,I7527
23,I6441_d
24,I6445
26,I2189
29,I1072
30,I1415_enhanced
31,I1701_enhanced
33,I1709_enhanced
34,I1710
40,I1679_enhanced
41,I1699
42,I1708
44,I4427
46,I13778
47,I0231
48,I1525
49,I0726
50,I1099
51,I1100
52,I1102
53,I1103
54,I0725
57,I1926
58,I5870
59,I3719
60,I3716
61,I5872
158,HGDP01396.DG
161,HGDP01382.DG
162,HGDP01383.DG
163,HGDP01385.DG
164,HGDP01386.DG
165,HGDP01387.DG
166,HGDP01397.DG
167,HGDP01398.DG
168,HGDP01399.DG
169,HGDP01400.DG
170,HGDP01401.DG
171,HGDP01402.DG
172,HGDP01403.DG
173,HGDP01404.DG
174,Darra.I.Kur_noUDG_d
175,I14688
176,I14690
177,I14692
178,I16251
179,I16254
180,I16256
181,I17640
182,I17623
184,I14689
185,I15705
186,I16253
187,I13835
188,I13838
189,I13840
190,I8471
191,I13839
192,I14622
193,I14685
194,I15706
195,I14686
196,I14687
197,I15707
198,S_Albanian-1.DG
199,S_Tlingit-2.DG
200,S_Tlingit-1.DG
201,S_Aleut-2.DG
202,S_Aleut-1.DG
203,AltaiNeanderthal.DG
206,S_Altaian-1.DG
208,S_Ami-1.DG
209,S_Ami-2.DG
211,Aconcagua_noUDG.SG
215,I0308
216,I0309
217,I2230
218,I2232
219,I7086
220,I12941
221,I12942
222,I12943
223,Yaghan890_noUDG.SG
224,Yaghan894_noUDG.SG
225,Yaghan895_noUDG.SG
226,I12355
227,I8351
228,I8348
229,I8349
230,I8350
231,I12376
232,I12356
233,I12357
234,I12358
235,I12359
236,I12360
237,I12361
238,MA572_noUDG.SG
240,MA577_noUDG.SG
241,I12362
242,I12354
243,I12363
244,I12364
245,I12366
246,I12367
247,I12365
248,I16119
249,I1407
250,I1409
251,I1631
252,I1632
253,I1634
255,I1630
256,I1659
257,I1660
258,I1633
259,I1635
260,I1658
261,ARM001
262,ARM002
263,I13599
264,I14339
265,I14341
266,I14343_d
267,I14346
268,I15132
269,I16706
270,I16920
271,I14340
272,I17499
273,I1657
274,I14812
275,I16116
276,I16117
277,I16191
278,I16193
279,I16195
280,I17180
281,I17181
282,I16553
283,I16546
284,I16194
285,I16219
286,I16547
287,I19322
288,I13947
289,I14054
290,I14057
