sim;exp;nam;met;siz;snp;pre;typ;cov;err;nod;mem;que;tim;
europe;1;downsample;1;15000;1;sNNt;gt;0;0;256;20g;gpu;1-08:00:00;
europe;2;downsample;2;10000;1;sNNt;gt;0;0;256;8g;gpu;20:00:00;
europe;3;downsample;3;5000;1;sNNt;gt;0;0;256;2g;normal;08:00:00;
europe;4;gold;4;1500;1;sNNt;gt;0;0;256;1g;normal;08:00:00;
europe;5;downsample;5;1000;1;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;6;downsample;6;500;1;sNNt;gt;0;0;256;1g;normal;01:00:00;
europe;7;downsample;7;250;1;sNNt;gt;0;0;256;1g;normal;01:00:00;
europe;8;sampling;8;real;1;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;9;snp_density;4;1500;0.75;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;10;snp_density;4;1500;0.5;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;11;snp_density;4;1500;0.25;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;12;snp_density;4;1500;0.1;sNNt;gt;0;0;256;1g;normal;03:00:00;
europe;13;prediction;4;1500;1;space;gt;0;0;256;1g;normal;03:00:00;
europe;14;prediction;4;1500;1;time;gt;0;0;256;1g;normal;03:00:00;
europe;15;gl;4;1500;1;sNNt;gl;5;0.05;256;5g;normal;08:00:00;
europe;16;gl;4;1500;1;sNNt;gl;15;0.05;256;5g;normal;08:00:00;
europe;17;gl;4;1500;1;sNNt;gl;30;0.05;256;5g;normal;08:00:00;
europe;18;n_nodes;4;1500;1;sNNt;gt;0;0;64;1g;normal;03:00:00;
europe;19;n_nodes;4;1500;1;sNNt;gt;0;0;128;1g;normal;03:00:00;
europe;20;n_nodes;4;1500;1;sNNt;gt;0;0;512;1g;gpu;08:00:00;
