exp;nam;met;cro;sta;end;win;dmt;pre;lay;dro;typ;los;nfe;nla;wti;wsp;wsa;nod;dat;mem;que;tim;tto
1;loss;1;1;0;100;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;1000;None;64;default;20g;normal;16:00:00;00:00:00
2;general;1;1;0;300;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;20g;normal;16:00:00;00:00:00
2;general;1;2;0;300;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;20g;normal;16:00:00;00:00:00
3;loss;1;1;0;100;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;100000;None;64;default;20g;normal;16:00:00;00:00:00
4;window;1;1;0;250;10;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;8g;normal;16:00:00;00:00:00
4;window;1;2;0;250;10;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;8g;normal;16:00:00;00:00:00
4;window;1;1;0;1000;1000;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;100g;gpu;1-00:00:00;00:00:00
4;window;1;2;0;1000;1000;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";sNNt;10;0.25;gt;hdtd;None;None;1;10000;None;64;default;100g;gpu;1-00:00:00;00:00:00
5;prediction;1;1;0;100;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";space;10;0.25;gt;hd;None;None;1;10000;None;64;default;20g;normal;16:00:00;00:00:00
6;prediction;1;1;0;100;100;"sntind_and_datmet_in_[\""Direct\"",\""Known\""]";time;10;0.25;gt;mse;None;None;1;10000;None;64;default;20g;normal;16:00:00;00:00:00
