ind	co1	co2
22182	4.391616757283555	4.391616757283555
44312	0.022487999000095297	0.022487999000095297
36328	0.01	0.01
33946	0.01	0.01
38639	1.141122367019562	1.141122367019562
4639	0.01	0.01
29565	0.010011954225708301	0.010011954225708301
23163	0.010000000000000085	0.010000000000000085
7807	0.01000000000067879	0.01000000000067879
7572	0.01	0.01
1629	0.01	0.01
34120	0.010000000000000049	0.010000000000000049
45324	0.01	0.01
8016	0.01	0.01
20176	0.01	0.01
15384	0.010006427805890937	0.010006427805890937
34833	0.010000000000684704	0.010000000000684704
19888	0.01	0.01
29663	0.01	0.01
22812	0.01	0.01
20242	0.010000168571916287	0.010000168571916287
16659	0.01002306984282127	0.01002306984282127
6370	0.01000082340394001	0.01000082340394001
584	0.01	0.01
7822	0.01	0.01
39766	0.01	0.01
20389	0.01	0.01
29418	0.192976059116451	0.192976059116451
38264	0.01	0.01
2627	0.010000000003001684	0.010000000003001684
1423	0.01	0.01
2165	0.010000012989061882	0.010000012989061882
839	0.01	0.01
33622	0.01	0.01
5276	0.01	0.01
5419	0.01	0.01
29813	0.01	0.01
35963	0.01	0.01
30411	0.010000173418598908	0.010000173418598908
17299	0.01	0.01
20355	0.010000000000000222	0.010000000000000222
26395	0.508020617651488	0.508020617651488
29597	0.010000003069596905	0.010000003069596905
11187	0.01	0.01
22341	0.010389627899579111	0.010389627899579111
42137	0.01	0.01
28654	0.01	0.01
23841	0.01	0.01
43344	0.18977575389019907	0.18977575389019907
9818	0.01	0.01
36307	0.01	0.01
41188	0.01	0.01
11559	0.01000000000000056	0.01000000000000056
9257	0.01	0.01
9334	0.01	0.01
30345	0.01	0.01
33909	0.01	0.01
3773	0.01	0.01
32961	0.01	0.01
18474	0.01000000000025338	0.01000000000025338
21785	0.010000000000001284	0.010000000000001284
6146	0.01	0.01
3484	0.01	0.01
27441	0.010000000000000994	0.010000000000000994
30130	0.010000000000000035	0.010000000000000035
36776	0.010075112142487332	0.010075112142487332
43536	0.01	0.01
27339	0.9411963936525487	0.9411963936525487
19755	0.01	0.01
13561	0.012999193083215767	0.012999193083215767
